file,rank,name,research_fields,promotion_year,full_promotion_year,full_promotion_university,promotion_university,years_post_phd,years_post_phd_full,QUARTERLY JOURNAL OF ECONOMICS_count,AMERICAN ECONOMIC REVIEW_count,ECONOMETRICA_count,REVIEW OF ECONOMIC STUDIES_count,JOURNAL OF POLITICAL ECONOMY_count,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS_count,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS_count,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION_count,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY_count,THEORETICAL ECONOMICS_count,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS_count,QUANTITATIVE ECONOMICS_count,REVIEW OF ECONOMICS AND STATISTICS_count,ECONOMIC JOURNAL_count,INTERNATIONAL ECONOMIC REVIEW_count,JOURNAL OF ECONOMIC THEORY_count,JOURNAL OF LABOR ECONOMICS_count,JOURNAL OF MONETARY ECONOMICS_count,RAND JOURNAL OF ECONOMICS_count,JOURNAL OF INTERNATIONAL ECONOMICS_count,JOURNAL OF PUBLIC ECONOMICS_count,JOURNAL OF ECONOMETRICS_count,JOURNAL OF DEVELOPMENT ECONOMICS_count,QUARTERLY JOURNAL OF ECONOMICS_year,AMERICAN ECONOMIC REVIEW_year,ECONOMETRICA_year,REVIEW OF ECONOMIC STUDIES_year,JOURNAL OF POLITICAL ECONOMY_year,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS_year,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS_year,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION_year,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY_year,THEORETICAL ECONOMICS_year,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS_year,QUANTITATIVE ECONOMICS_year,REVIEW OF ECONOMICS AND STATISTICS_year,ECONOMIC JOURNAL_year,INTERNATIONAL ECONOMIC REVIEW_year,JOURNAL OF ECONOMIC THEORY_year,JOURNAL OF LABOR ECONOMICS_year,JOURNAL OF MONETARY ECONOMICS_year,RAND JOURNAL OF ECONOMICS_year,JOURNAL OF INTERNATIONAL ECONOMICS_year,JOURNAL OF PUBLIC ECONOMICS_year,JOURNAL OF ECONOMETRICS_year,JOURNAL OF DEVELOPMENT ECONOMICS_year
Arizona/full/Woutersen CV 2024 3.docx,full,Tiemen Woutersen,,2013,2018,University of Arizona,University of Arizona,13,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,,,2003,,,,,,,,,2012,,,,,,,,,,2014; 2014; 2019; 2023,
"Arizona/full/Mo, Xiao_CV.docx",full,Mo Xiao,Industrial Organization; Applied Microeconomics,2012,2022,University of Arizona,University of Arizona,9,19,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,,2011; 2011,,,,,,,,,2022,,,,,,,,2015; 2021,,,,
Arizona/full/lemoine_cv.docx,full,Derek Lemoine,,2017,2023,University of Arizona,University of Arizona,6,12,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2017; 2020,,,,2024,,,2014,,,,2017,,,,,,,,,,
Arizona/full/alangerCV_20251211.docx,full,Ashley Langer,,2021,2025,University of Arizona,University of Arizona,11,15,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,2020,,,2025,,,,2025,,,,2013,,,,,,,,2017,,
Arizona State/associate/CV2023-05.docx,associate,Manjira Datta,,2001,,,Arizona State University,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1997; 2002; 2002,2002,,,,,,,
Arizona State/associate/CV.docx,associate,Wyatt J. Brooks,,2020,,,University of Notre Dame,8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,2018,,,,,,,,2019,,,2020,,,,,
Arizona State/associate/CV-2.docx,associate,Natalia Kovrijnykh,Macroeconomics; Financial Economics; Applied Theory; Political Economy,2016,,,Arizona State University,8,,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2013; 2023,,,2007,,,,,,,,,,2017,2016,,,,,,,
Arizona State/associate/cv-3.docx,associate,Alvin D. Murphy,Urban Economics; Public Economics; Environmental Economics; Industrial Organization,2018,,,Arizona State University,10,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,2015,2016,,,,,,2018,,,,2019,,2018,,,,,,,2010,
Arizona State/associate/CV_Ferraro.docx,associate,Domenico Ferraro,,2023,,,Arizona State University,9,,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,2025,,2020,,,,,,,,2018; 2023,,,,,,,,,
Arizona State/associate/CV_bishop.docx,associate,Kelly C. Bishop,Environmental Economics; Real Estate Economics,,,,Arizona State University,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,2023,,,,,,,,,2019,,,,,2020,,,,,
Arizona State/associate/cv_kuminoff.docx,associate,Nicolai V. Kuminoff,,2016,,,Arizona State University,10,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,,2016,,2023,,,,,,,,,,,2014; 2019,,,,,,,2021,
Arizona State/full/2104res.docx,full,Alejandro M. Manelli,,1996,1999,Arizona State University,The University of Iowa,8,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,1991; 1995; 1996; 2010; 2019,,,,,,,,,,,,,1991; 1997; 1997; 2002; 2006; 2007; 2009; 2012,,,,,,,
Arizona State/associate/CV_current.docx,associate,Galina Vereshchagina,Macroeconomics; Applied Theory,2014,,,Arizona State University,10,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2009; 2014,,,,,,,,,,,,,,2011,,,,,,,
Arizona State/associate/gentry_cv.docx,associate,Matthew L. Gentry,Industrial Organization; Microeconometrics; Applied Microeconomics,2017,,,London School of Economics,5,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2014,2023,,,,,,,,,,,,,,,,,,2011,
Arizona State/associate/mizzi_acad_cv_2021.docx,associate,Philip J Mizzi,Game Theory; Managerial Economics (face-to-face and Online); Industrial Organization; Econometrics; Microeconomics; Capstone in Economics,1993,,,Arizona State University,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona State/full/CV - Esteban M. Aucejo.docx,full,Esteban M. Aucejo,Education Economics; Labor Economics,2017,2025,Arizona State University,Arizona State University,5,13,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,,2016,,,2021; 2025,,,,,,,2011,2022,2022,,,,,,,2020; 2023; 2025,,
Arizona State/full/Ketcham CV April 2024.docx,full,Jonathan D. Ketcham,,2010,2016,Arizona State University,Arizona State University,8,14,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,,2012; 2015; 2016,,2023,,,,,,,,,,,2019,,,,2010; 2014,,,2021,
Arizona State/full/May 2023.docx,full,Jeffrey R. Wilson,,1990,2020,Arizona State University,University of Colorado Denver,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,full,Rajnish Mehra,,1985,1988,"University of California, Santa Barbara",Columbia University,7,10,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,0,0,0,2002,,1980,1984,,,,,,,,2011; 2021; 2021,,,1988,1983,,1985; 1988,,,,,
Arizona State/full/WMH CV 6-19.docx,full,W. Michael Hanemann,,1984,1995,University of California at Berkeley,University of California at Berkeley,6,17,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,1991; 2003; 2005; 2012,1984,,,,,,,,,,1998; 2002; 2006,,,,,,,,,,
Arizona State/full/ahn_vita_2021_02_22.docx,full,Seung Chan Ahn,,1997,2014,Arizona State University,Arizona State University,7,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,2013,,,,,,,,,,,,,,,,,,,1995; 1996; 1997; 1999; 2001; 2013; 2015,
Arizona State/full/cv-july2025.docx,full,Gustavo Ventura,Macroeconomics; Development Economics,2007,2011,Arizona State University,University of Iowa,10,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,,2011,2023,2012; 2020,,,,,,,,,,,2002,,,2000; 2002; 2006; 2009; 2012; 2016; 2021,,,,,
Boston College/associate/CV_Edson_Severnini_Sep_2025.docx,associate,Edson R. Severnini,,2023,,,Carnegie Mellon University,10,,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,,2021,,,,,,,,,,,2024; 2024,2023,,,,,,,2023,,2020
Arizona State/full/cv2022_.01.docx,full,Edward E. Schlee,,1994,1997,Arizona State University,Arizona State University,6,9,0,2,0,0,0,0,0,1,0,1,0,0,0,1,3,4,0,0,1,0,0,0,0,,2001; 2013,,,,,,2011,,2012,,,,2001,1990; 2002; 2007,1993; 1994; 2002; 2020,,,1996,,,,
Arizona State/full/cv.docx,full,Hector Chade,Contract Theory,2003,2007,Arizona State University,Arizona State University,6,10,0,1,2,3,0,0,0,0,0,3,0,0,0,0,1,6,0,0,1,0,0,0,0,,2024,2006; 2021,2014; 2020; 2022,,,,,,2012; 2018; 2020,,,,,2002,2002; 2006; 2008; 2016; 2020; 2020,,,2008,,,,
Boston College/associate/Farrokhi_CV.docx,associate,Farid Farrokhi,International Trade; Spatial Economics; Environmental Economics,2024,,,Boston College,8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,,,2023,,,,,,,,,,2021,,,,,2020; 2024,,,
Boston College/associate/cv.docx,associate,Robert Ulbricht,Macroeconomics; Monetary Economics; Labor Economics,2023,,,Boston College,10,,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,2020,2022,2023,,,,2016,,,,,,2019,,,,,,,
Boston College/associate/MichaelDGrubb_CV.docx,associate,Michael D. Grubb,Industrial Organization; Microeconomic Theory,2016,,,Boston College,9,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2009; 2015,,2015,,,,,,,,,,,,,,,,,,,
Boston College/associate/rlsweeney_cv.docx,associate,Richard L. Sweeney,,2023,,,Boston College,8,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2023,,,,,,,,,,,2022,,,,,,,,,,
Boston College/associate/cv_nosal2.docx,associate,Jaromir B. Nosal,,2023,,,Boston College,15,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,2012,,2024,,2021,,,,,,,,,,,,2016; 2019; 2022,,,,,
Boston College/full/Basu_CV.docx,full,Susanto Basu,,1998,2003,University of Michigan,University of Michigan,6,11,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996; 1998,1995; 2006,2017; 2018,,1997,2014,,2022,,,,,,,,,,1995,,,,,
Boston College/full/Anderson_CV.docx,full,James E. Anderson,,1973,1977,Boston College,Boston College,4,8,0,10,1,3,1,0,0,0,0,0,0,0,3,2,7,0,0,0,0,14,1,0,2,,1969; 1970; 1974; 1976; 1979; 1981; 1985; 1992; 2003; 2010,1992,1980; 1982; 1996,1970,,,,,,,,1981; 2002; 2022,1998; 2020,1976; 1995; 2003; 2005; 2009; 2012; 2014,,,,,1972; 1981; 1982; 1987; 1993; 1998; 2005; 2006; 2007; 2011; 2016; 2016; 2016; 2020,1992,,1998; 2005
Boston College/full/Baum_CV.docx,full,Christopher F. Baum,,1983,2013,Boston College,Boston College,6,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1979,,,,,,,,,,,,,,,,,,
Boston College/full/CV Murphy January 2024.docx,full,Robert G. Murphy,,1990,,,Boston College,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,1989,,,
Boston College/full/CV_lewbel.docx,full,Arthur Lewbel,,,2005,Boston College,,,21,1,5,11,4,4,0,0,0,0,0,0,2,5,2,4,1,0,0,0,0,2,21,0,1989,1994; 1996; 2001; 2009; 2013,1986; 1987; 1989; 1991; 1997; 1998; 2002; 2002; 2007; 2007; 2015,1985; 1989; 1992; 2013,1987; 2009; 2017; 2023,,,,,,,2016; 2022,1996; 1997; 2005; 2010; 2015,1996; 2022,1989; 1990; 1995; 2007,1995,,,,,1989; 1993,1987; 1990; 1991; 1995; 2000; 2003; 2007; 2007; 2008; 2010; 2011; 2011; 2014; 2015; 2015; 2016; 2016; 2017; 2022; 2022; 2023,
Boston College/full/CV-Papageorgiou.docx,full,Theodore Papageorgiou,,2022,2024,Boston College,Boston College,14,16,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,,2020,2014,,2022,,,,,,,,,,2018,,,,,,,
Boston College/full/Quinn_CV.docx,full,Joseph F. Quinn,,1980,1985,Boston College,Boston College,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1982,,,,,,,,,,,,,,,,,,,,,
Boston College/full/Guerron_CV.docx,full,Pablo A. Guerron,Macroeconomics; International Finance,2016,2020,Boston College,Boston College,10,14,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,2,0,,2011; 2015,,,,2023,,,,,,2013; 2019,,,,,,2009; 2016; 2020,,2013,,2015; 2017,
Boston College/full/Segal_CV.docx,full,Uzi Segal,,1990,1992,University of Toronto,University of Toronto,6,8,0,2,4,0,2,0,0,0,0,2,1,0,0,1,3,15,0,0,0,0,0,0,0,,1988; 1990,1990; 1991; 1997; 2008,,1992; 2000,,,,,2011; 2023,2018,,,1994,1987; 1993; 2015,1990; 1991; 1992; 1992; 1994; 1997; 1998; 1999; 2002; 2002; 2007; 2012; 2014; 2017; 2022,,,,,,,
Boston College/full/Xiao_CV.docx,full,Zhijie Xiao,,2002,2004,Boston College,University of Illinois at Urbana-Champaign,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,,2002,,,,,,,,,,,,,,,,,,,1998; 2002; 2002; 2005; 2005; 2009; 2009; 2009; 2011; 2012; 2012; 2019; 2019; 2022; 2022,
Boston College/full/TayfunSonmez-cv-January2025.docx,full,Tayfun Sönmez,Microeconomic Theory; Mechanism Design; Game Theory; Education Economics; Matching Theory,2000,2005,Boston College,Koç University,5,10,1,8,6,0,2,0,0,0,0,1,1,0,1,0,1,12,0,0,0,0,1,0,0,2004,2002; 2003; 2007; 2008; 2013; 2013; 2020; 2024,1998; 1999; 2013; 2017; 2020; 2022,,2013; 2018,,,,,2016,2022,,2025,,2010,1996; 1996; 1997; 1999; 1999; 1999; 2003; 2005; 2006; 2014; 2018; 2020,,,,,2006,,
Boston College/full/cox.cv.docx,full,Donald Cox,Economics of the Family; Evolutionary Economics; Development Economics,1987,1995,Boston College,Boston College,7,15,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,1990,,,,1987,,,,,,,,1982; 1990; 1992,,,,,,,,1995; 2004; 2005,,1990; 1998
Boston College/full/cvposta.docx,full,Hideo Konishi,Microeconomic Theory; Public Economics; Urban Economics; Game Theory; International Trade; Political Economy,1998,2005,Boston College,Southern Methodist University,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,2,0,0,,,,,,,,,,2011,,,,,,1996; 1997; 1998; 1999; 2003; 2006,,,,1999; 2007,1995; 2002,,
Boston College/full/ekmekci-cv-2023-Jan.docx,full,Mehmet Ekmekci,Mechanism Design; Microeconomic Theory; Game Theory,2013,2019,Boston College,University of Pittsburgh,7,13,0,2,2,3,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,,2014; 2022,2016; 2021,2012; 2014; 2020,,,,,,2019; 2022,2016,,,,,2009; 2011; 2012; 2013; 2015; 2022,,,,,,,
Boston College/full/Deb_CV.docx,full,Rahul Deb,,2017,2022,University of Toronto,University of Toronto,7,12,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1,,2018,2013; 2014,2023; 2024,,,,,,2018; 2022,2017,,,,,2009; 2015,,,,,2014,,2013
Boston College/full/schiantarelli_cv__2024_01.docx,full,Fabio Schiantarelli,,1988,1998,Boston College,Boston University,7,17,0,2,0,0,0,0,0,3,0,0,0,0,6,3,2,0,0,1,0,0,1,1,2,,2001; 2002,,,,,,2005; 2013; 2022,,,,,1991; 1993; 1993; 1998; 2000; 2003,1992; 2012; 2023,1983; 2011,,,2005,,,1994,1992,1996; 2007
Boston College/full/ireland.cv.docx,full,Peter N. Ireland,,1998,2000,Boston College,Boston College,7,9,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,6,0,0,0,1,0,,1994; 2009,,,1996,,,2013,,,,,2004,,2005; 2005,,,1994; 1996; 1999; 2001; 2003; 2015,,,,2014,
Boston College/full/uunvercv.docx,full,M. Utku Ünver,Microeconomic Theory; Matching Theory; Game Theory; Mechanism Design,2008,2011,Boston College,Boston College,8,11,1,2,2,1,1,0,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,0,0,2004,2007; 2020,2017; 2020,2010,2019,,,,,2014; 2015; 2017,,,,,2010,2005; 2006; 2014; 2018,,,2007,,,,
Boston College/full/vita24public.docx,full,Shakeeb Khan,Econometrics; Applied Econometrics,2002,2011,Duke University,University of Rochester,5,14,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,14,1,,,2010; 2010; 2019,,,,,,,,,2018; 2021,,,2013,,,,,,2011,2000; 2001; 2001; 2002; 2003; 2007; 2009; 2013; 2016; 2016; 2023; 2024; 2024; 2024,2010
Brandeis/associate/Shiller_CV.docx,associate,Benjamin R. Shiller,,2022,,,Brandeis University,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,2020,,,,2018,,,,
Brandeis/associate/LHuillierCVShort.docx,associate,Jean-Paul L’Huillier,,2022,,,Brandeis University,12,,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,2013,,2024,,2020,,,,,,,,2024,,,,2018,,2019,,,
Brandeis/associate/Sloczynski_CV.docx,associate,Tymon Słoczyński,,2025,,,Brandeis University,11,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2022,2020,,,,,,,,,
Brandeis/full/CV_Menon_July2025.docx,full,Nidhiya Menon,Development Economics; Applied Microeconomics,2009,2018,Brandeis University,Brandeis University,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,2014
Brandeis/full/RaphaelSchoenle_CV.docx,full,Raphael S. Schoenle,,2017,2024,Brandeis University,Brandeis University,7,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,,2017,,,,,,,,,,,,,,,,2014; 2016; 2018; 2020; 2022; 2023; 2023,,2016,,,
Brandeis/full/brainerd_cv_oct2023.docx,full,Elizabeth Brainerd,,2002,2008,Williams College,Williams College,6,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,1998,,,,,,,,,,,2017,,,,,,,,,,2014
Brandeis/full/gjh_cv_03_2025.docx,full,George J. Hall,,2002,2012,Brandeis University,Yale University,6,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2025,,,,2003,2011,,,,,,,,,,,,1996; 2000; 2004; 2014,2011,,,2021,
CUNY/associate/Arroyo_Abad_CV_2025-01-full.docx,associate,Leticia Arroyo Abad,Macroeconomics; Economic History; Development Economics; Macroeconomic Theory; Political Economy,2016,,,Middlebury College,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,associate,Seungho Baek,Applied Economics Letters; Applied Economics; A Session On Corporate Finance; Academy of Finance; “dynamic Risk Factor in Carry Trades”,2021,,,Brooklyn College of the City University of New York,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
CUNY/associate/Bryan-S-Weber-cv.docx,associate,Bryan S. Weber,,2023,,,College of Staten Island - City University of New York,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
CUNY/associate/CV-Kshankar2023.docx,associate,Kameshwari Shankar,,2017,,,City College of New York,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
CUNY/associate/Conning_CV_2021.docx,associate,Jonathan H. Conning,,2007,,,"Hunter College, City University of New York",11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,1999; 2007
