file,name,promotion_year,promotion_university,years_post_phd,promotion_evidence,phd_evidence,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona/full/Woutersen CV 2024 3.docx,Tiemen Woutersen,2013,University of Arizona,13,"July 2013-June 2018: Associate Professor (with tenure), Department of Economics, Eller College of
Management, University of Arizona.","Ph.D., Economics, May 2000, Brown University, Providence, RI M.A., Economics, May 2000, Brown University, Providence, RI",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
Arizona/full/alangerCV_20251211.docx,Ashley Langer,2021,University of Arizona,11,"Associate Professor, Department of Economics, University of Arizona, 2021- 2025 Visiting Scholar, Columbia Business School, Spring 2022","Ph.D. University of California, Berkeley, Economics, 2010",0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Arizona/full/Price V. Fishback CV.docx,Price Vanmeter Fishback,1987,University of Georgia,4,"Associate Professor, University of Georgia, 1987-91 Visitor, University of Texas, Austin, 1987-89.","Robert Todd Duncan Alumni Achievement Award, 2011 University of Washington (M.A. in Economics, 1979) University of Washington (Ph.D. in Economics, 1983)",1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Arizona State/associate/CV-2.docx,Natalia Kovrijnykh,2016,Arizona State University,,"2016−present	 Associate Professor of Economics (with tenure), Arizona State University 2008−2016	Assistant Professor of Economics, Arizona State University",,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona/full/lemoine_cv.docx,Derek Lemoine,2017,University of Arizona,6,"2017-2023	Associate Professor of Economics, University of Arizona 2011-2017	Assistant Professor of Economics, University of Arizona","Ph.D.	Energy and Resources, 2011",0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arizona State/associate/CV2023-05.docx,Manjira Datta,1995,Arizona State University,3,"Assistant Professor of Economics, Arizona State University, August 1995 - July 2001","Education:	Ph. D. (Economics), Cornell University, Ithaca NY, Aug 1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Arizona State/associate/CV_Ferraro.docx,Domenico Ferraro,2023,Arizona State University,9,"Associate Professor (with tenure), Department of Economics, Arizona State University, 2023-present.","Ph.D. in Economics, Duke University, USA, 2014.",0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arizona State/associate/CV.docx,Wyatt J. Brooks,2020,University of Notre Dame,8,"Assistant Professor of Economics (2012-2020), granted tenure in May 2020 Concurrent Faculty in the Keough School of Global Affairs (2016-2020)",Ph.D.	Economics	University of Minnesota	2012,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Arizona State/associate/CV_bishop.docx,Kelly C. Bishop,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Arizona State/associate/CV_current.docx,GALINA VERESHCHAGINA,2014,Arizona State University,10,"2014 – present: Associate Professor (with tenure), Arizona State University 2007 – 2014: Assistant Professor, Arizona State University",Ph.D. in Economics (2004),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona State/associate/cv-3.docx,Alvin D. Murphy,,,,,"2003 - 2008	Ph.D., Economics, Duke University, Durham, NC 2001 - 2002	M.A., Economics, University College Dublin, Ireland",0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Arizona State/associate/cv_kuminoff.docx,Nicolai V. Kuminoff,2016,Arizona State University,,"2016-present	Associate Professor, Arizona State University, Economics Department 2009-2016	Assistant Professor, Arizona State University, Economics Department",,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Arizona State/associate/gentry_cv.docx,Matthew L. Gentry,2019,Florida State University,7,"2019 – 2025	Associate Professor of Economics, Florida State University","2009 – 2012	Ph. D. in Economics, Vanderbilt University",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Arizona State/full/2104res.docx,Alejandro M. Manelli,1996,The University of Iowa,8,"Associate Professor of Economics, The University of Iowa, 1996–1997.","Ph.D. (Economics), University of California at Berkeley, 1988.",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Arizona State/associate/mizzi_acad_cv_2021.docx,Phılıp J Mızzı,1993,Arizona State University,9,"Associate Professor, School of Global Management, 08/93 – 11/2008","Texas A&M University; 1984, Ph. D.; Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/Ketcham CV April 2024.docx,Jonathan D. Ketcham,,,,,"Ph.D. Applied Economics, The Wharton School of Business, University of Pennsylvania. 2002.",0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
Arizona State/full/CV - Esteban M. Aucejo.docx,Esteban M. Aucejo,2017,Arizona State University,5,"Associate Professor in Economics, W.P. Carey School of Business, 2017-2025","Ph.D. in Economics, Duke University, Durham, NC, USA (2012)",0,1,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,Rajnish Mehra,1985,"University of California, Santa Barbara",7,"1985 – 1988.	Associate Professor of Finance
Department of Economics
University of California, Santa Barbara, CA.","1978	Ph.D. in Finance,
Graduate School of Industrial Administration, Carnegie-Mellon University.",1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,0,0,0
Arizona State/full/May 2023.docx,Jeffrey R. Wilson,1991,Arizona State University,7,Associate Professor of Statistics 						      Jul 1991-95,"PhD Statistics        Iowa State University of Science and Technology, Ames, Iowa 	             May 1984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/WMH CV 6-19.docx,W. Michael Hanemann,1984,University of California at Berkeley,6,"1984-1995:	Associate Professor, Department of Agricultural and Resource Economics, University of California at Berkeley.",Harvard University	Ph.D.	1978	Economics,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Arizona State/full/cv-july2025.docx,Gustavo Ventura,2007,University of Iowa,10,"Associate Professor, Department of Economics, University of Iowa, January 2007- June 2011.","Ph.D. Economics, University of Illinois, 1997.",0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
Arizona State/full/ahn_vita_2021_02_22.docx,SEUNG CHAN AHN,1997,Arizona State University,7,"Associate Professor of Economics, Arizona State University, August 1997 – May 2014.","Ph.D., Economics, Michigan State University, December 1990",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Arizona State/full/cv.docx,Hector Chade,2003,Arizona State University,6,"Associate Professor of Economics, Arizona State University, 2003-2007.","Ph.D. Economics, University of Illinois, January 1997.",0,1,2,3,0,0,0,0,0,3,0,0,0,0,1,5,0,0,1,0,0,0,0
Boston College/associate/CV_Edson_Severnini_Sep_2025.docx,Edson R. Severnini,2023,Carnegie Mellon University,10,Associate Professor of Economics and Public Policy (with tenure)	 (July 2023 – Dec 2024),"Ph.D., Economics, University of California – Berkeley (UC Berkeley) (2013)",0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1
Arizona State/full/cv2022_.01.docx,Edward E. Schlee,1994,Arizona State University,6,"Arizona State University: Professor of Economics, August 1997–; Associate, August 1994-
August 1997; Assistant, August 1990-August 1994","Ph.D., Economics, University of Illinois, 1988.",0,2,0,0,0,0,0,1,0,1,0,0,0,1,4,4,0,0,1,0,0,0,0
Boston College/associate/Farrokhi_CV.docx,Farid Farrokhi,2024,Boston College,8,"2024–present	Boston College, Department of Economics, Associate Professor","PhD	Economics, The Pennsylvania State University, PA, USA, 2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/associate/MichaelDGrubb_CV.docx,Michael D. Grubb,2016,Boston College,9,Associate Professor of Economics (with tenure)	2016 – present Assistant Professor of Economics		2013 – 2016,Ph.D. in Business Administration (Field: Economics)	2007,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/associate/rlsweeney_cv.docx,Richard L. Sweeney,,,,,"Ph.D. Public Policy, Harvard University	2015",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boston College/associate/cv_nosal2.docx,Jaromir B. Nosal,2023,Boston College,,"2023-present	Associate Professor, Boston College 2015-2023	Assistant Professor, Boston College Spring 2015	Visiting Professor, Ohio State University 2008-2015	Assistant Professor, Columbia University",,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Boston College/associate/cv.docx,Robert Ulbricht,2023,Boston College,10,"2023 –	Associate Professor, Boston College 2019 – 2023	Assistant Professor, Boston College","2013	Ph.D. in Economics, University of Munich 2012 (Fall)	Visiting Ph.D. Student, Northwestern University 2010 – 2011	Visiting Ph.D. Student, Northwestern University 2007	Diplom in Economics, University of Munich",0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/full/Basu_CV.docx,Susanto Basu,1998,University of Michigan,6,"Associate Professor (with tenure), 1998–2003; Assistant Professor, 1992 –98.","Ph.D., Harvard University, 1992.",2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Boston College/full/Baum_CV.docx,Christopher F. Baum,1983,Boston College,6,"1983-2013: Associate Professor of Economics, Boston College","1977: Ph.D. in Economics, The University of Michigan–Ann Arbor 1973: M.A. in Economics, Florida Atlantic University",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/full/CV Murphy January 2024.docx,Robert G. Murphy,1990,Boston College,6,"Associate Professor of Economics, Boston College, 1990 - present.","Ph.D. in Economics, 1984. Fields of concentration: International and Monetary Economics.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boston College/full/Anderson_CV.docx,James E. Anderson,1972,Boston College,3,"Assistant Professor of Economics, Boston College, 1969-72 Associate Professor of Economics, Boston College, 1972-77 Professor of Economics, Boston College, 1977-2004","Vanderbilt University (no degree), 1965-66 Ph. D., University of Wisconsin, 1969",0,9,1,3,1,0,0,0,0,0,0,0,3,2,5,0,0,0,0,13,1,0,2
Boston College/full/CV-Papageorgiou.docx,Theodore Papageorgiou,,,,,"Ph.D. in Economics, Yale University	May 2008",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/full/Deb_CV.docx,Rahul Deb,2017,University of Toronto,7,"Associate Professor, Department of Economics, University of Toronto, July 2017–June 2022.","Ph.D., Economics, Yale University, 2010.",0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1
Boston College/full/CV_lewbel.docx,Arthur Lewbel,,,,,"Ph.D., Management Applied Economics, MIT Sloan School of Management, Dissertation: Three Essays in the Analysis of Microeconomic Data 1984",1,4,9,3,4,0,0,0,0,0,0,2,5,2,3,1,0,0,0,0,2,17,0
Boston College/full/Guerron_CV.docx,Pablo A. Guerron,2016,Boston College,10,"Associate Professor (with tenure), Department of Economics (September 2016 – 2020), Boston College.","Ph.D., Economics, Northwestern University, 2006. M.A., Economics, Northwestern University, 2003.",0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,2,0
Boston College/full/Quinn_CV.docx,Joseph F. Quinn,1980,Boston College,5,"Professor of Economics, Boston College, 1985 - present; Department Chair, 1988 - 1994. Associate Professor 1980 - 1985; Assistant Professor, 1974 - 1980.","Ph.D. in Economics, Massachusetts Institute of Technology, 1975.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/full/Segal_CV.docx,Uzi Segal,1990,University of Toronto,6,"Dept. of Economics, University of Toronto: Assistant Professor (1985–1990), Associate Professor (1990–1992), Professor (1992–1994).","Ph.D. in Economics. Thesis: “The connection between beliefs and pref- erences in economics.” Supervisor: M.E. Yaari. Hebrew University, 1984.",0,2,4,0,2,0,0,0,0,2,1,0,0,1,3,14,0,0,0,0,0,0,0
Boston College/full/TayfunSonmez-cv-January2025.docx,Tayfun Sönmez,2000,Koç University,5,"January 2000 - August 2005: Associate Professor of Economics, Koc¸ I˙stanbul, Turkey","Ph.D. in Economics, University of Rochester, May 1995.",1,7,5,0,2,0,0,0,0,1,1,0,2,0,1,10,0,0,0,0,1,0,0
Boston College/full/cox.cv.docx,Donald Cox,1987,Boston College,7,"Associate Professor, Department of Economics, Boston College, 1987-1995 Assistant Professor, Department of Economics, Washington University, 1981-1987 Economist, Federal Reserve Bank of New York, 1980-1981","Ph.D.	Economics, Brown University, 1980",1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2
Boston College/full/Xiao_CV.docx,Zhijie Xiao,2002,University of Illinois at Urbana-Champaign,5,"August 2002 – June 2004	Associate Professor of Economics (with tenure), University of Illinois
at Urbana-Champaign.","Ph.D., Economics, 1997, Yale University",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Boston College/full/cvposta.docx,Hideo Konishi,1998,Southern Methodist University,4,"1998-1999, Associate Professor, Southern Methodist University 1994-1998, Assistant Professor, Southern Methodist University","Ph.D. in Economics, University of Rochester, May 1994",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,2,0,0
Boston College/full/ekmekci-cv-2023-Jan.docx,Mehmet Ekmekci,2013,University of Pittsburgh,7,"Associate Professor (with Tenure), August 2013 - July 2014","Ph.D., Economics, Princeton University, 2006.",0,2,2,3,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0
Boston College/full/ireland.cv.docx,Peter N. Ireland,1998,Boston College,7,"Associate Professor, 1998-2000.","University of Chicago, Ph.D. (economics), 1991.",0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,6,0,0,0,1,0
Boston College/full/schiantarelli_cv__2024_01.docx,Fabio Schiantarelli,1998,Boston College,,"1998- present Full Professor, Department of Economics Boston College.",,0,2,0,0,0,0,0,3,0,0,0,0,5,3,2,0,0,2,0,0,1,1,2
Boston College/full/vita24public.docx,Shakeeb Khan,2002,University of Rochester,5,"Associate Professor (Tenured), University of Rochester, May 2002-July 2006.","Princeton University, Ph.D., 1997",0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,11,1
Boston College/full/uunvercv.docx,M. Utku Ünver,2008,Boston College,8,"Associate Professor, Boston College, Department of Economics (Sep 2008-Aug 2011)","Ph.D. in Economics, University of Pittsburgh (2000)",1,2,2,1,1,0,0,0,0,3,0,0,0,0,3,4,0,0,1,0,0,0,0
Brandeis/associate/LHuillierCVShort.docx,Jean-Paul L’Huillier,2022,Brandeis University,12,"Associate Professor (with Tenure), Brandeis University, 2022—present","Ph.D. in Economics, Massachusetts Institute of Technology, 2010",0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Brandeis/associate/Shiller_CV.docx,Benjamin R. Shiller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Brandeis/full/CV_Menon_July2025.docx,NIDHIYA MENON,2009,Brandeis University,8,"2009 – 2017	Associate Professor, Department of Economics","Ph.D. Economics, Brown University, Providence, RI, May 2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brandeis/full/Kathryn_cv.docx,Kathryn Graddy,,,,,"Princeton University, Ph.D., Economics:	1993",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Brandeis/associate/Sloczynski_CV.docx,Tymon Słoczyński,2025,Brandeis University,,Associate Professor	since 07/2025,PhD in Economics (with distinction)	2010–2014,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Brandeis/full/brainerd_cv_oct2023.docx,Elizabeth Brainerd,2002,Williams College,6,"Department of Economics, Williams College, Williamstown, MA
Assistant Professor, 1996-2002; Associate Professor, 2002-2008; Professor, 2008-2009.","Ph.D., Economics, November 1996. Fields: labor economics, public economics.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brandeis/full/RaphaelSchoenle_CV.docx,Raphael S. Schoenle,2017,Brandeis University,7,2017 – 2024	Associate Professor of Economics,"2004 – 2010	Princeton University
Ph.D., M.A., Economics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
Brandeis/full/gjh_cv_03_2025.docx,George J. Hall,2002,Yale University,6,"Associate Professor, Department of Economics, Yale University, 2002 - 2006. Assistant Professor, Department of Economics, Yale University, 1997 - 2002.","University of Chicago, Ph.D. Economics, 1996.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0
CUNY/associate/Arroyo_Abad_CV_2025-01-full.docx,Leticia Arroyo Abad,2016,Middlebury College,7,"Associate Professor (with tenure), Middlebury College, Department of Economics and
International Politics & Economics Program, 2016-2018","Ph.D., Economics, University of California, Davis, 2009 Topic: Latin American Inequality in the Very Long Run",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,Seungho Baek,2021,Brooklyn College of the CUNY,8,Associate Professor of Finance	Aug. 2021– Present,"Education	Illinois Institute of Technology, Stuart School of Business	Chicago, IL Ph.D. in Finance		2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Conning_CV_2021.docx,Jonathan H. Conning,2007,"Hunter College, City University of New York",11,"Hunter College, City University of New York (2007-present; tenured 2007)","Ph.D in Economics, Yale University, 1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CUNY/associate/Bryan-S-Weber-cv.docx,Bryan S. Weber,2023,College of Staten Island - City University of New York,8,"2023–Present  Associate Professor, College of Staten Island - City University of New York, Lucille and Jay Chazanoff School of Business, Department of Economics.","2011–2015 Ph D, Economics, University of Wisconsin - Milwaukee, Milwaukee, WI.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Izhakian_cv.docx,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Jessica-Van-Parys-CV.docx,Jessica Van Parys,2023,Hunter College,8,"Associate Professor (w/tenure), Department of Economics, Hunter College, Aug 2023–present Assistant Professor, Department of Economics, Hunter College, 2016–2023","Ph.D. Economics, Columbia University, 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/CV-Kshankar2023.docx,Kameshwari Shankar,2017,City College of New York,11,"Associate Professor, City College of New York (2017 to present) Faculty, Graduate Center, CUNY (2022 to present)","Ph.D., Economics, 2006, Cornell University, Ithaca, NY.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Lisa-George-CV-Short-2016_2.docx,Lisa M. George,2010,"Hunter College and the Graduate Center, City University of New York",9,"2010-current	Hunter College and the Graduate Center, City University of New York Associate Professor of Economics","2001	Ph.D., Applied Economics, The Wharton School, University of Pennsylvania 1998	M.A., Applied Economics, The Wharton School, University of Pennsylvania 1990	M. Eng., Civil Engineering, Cornell University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/KB-CV-2024-07-short.docx,Karna Basu,2017,"Hunter College & The Graduate Center, City University of New York",11,"Associate Professor, Department of Economics, Hunter College, 2009-present (tenured 2017)","Ph.D., Economics, 2006",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
CUNY/associate/McLaughlin-CV-2022-12.docx,Kenneth J. McLaughlin,2000,Hunter College of the City University of New York,,"Associate Professor of Economics, Hunter College and the	September 1995–
Graduate Center of the City University of New York (with tenure since September 1, 2000)",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
CUNY/associate/Nixvitae23revised.docx,Joan Nix,1995,"Queens College, (C.U.N.Y.)",6,"Associate Professor of Economics, 1995-present.","Ph.D. in Economics, 1989.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/kleinberg_cv.docx,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/cv2022_pratap.docx,Sangeeta Pratap,2013,"Hunter College and Graduate Center, City University of New York",15,"Associate Professor, Department of Economics, Hunter College and Graduate Center, City University of New York, Jan 2006-present. (Tenured 2013)","Ph.D in Economics, New York University, 1998",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CUNY/associate/Nyman-CV-2017-02.docx,Ingmar Nyman,2014,"Hunter College, City University of New York",18,"Associate Professor, Department of Economics, Hunter College, CUNY, 2014-present.","Ph.D., Economics, Columbia University, 1996.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CUNY/full/CV timothyjgoodspeed.docx,Timothy J. Goodspeed,1994,Hunter College of the City University of New York,8,"Professor, Department of Economics, Hunter College and The Graduate School of The City University of New York, 2002 – Present (Associate Professor 1994-2001).","Ph.D., Department of Economics, University of Maryland, 1986. Dissertation: ""Local Income Taxation: Equilibrium, Social Optimality, and Welfare Loss in a Metropolitan General Equilibrium Model.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CUNY/full/CVZadiaFelicianoJanuary2025.docx,Zadia M. Feliciano,2003,"Queens College, City University of New York",8,"Associate Professor, January 2003 – August 2019.","Ph.D. in Economics, June 1995.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
