file,name,promotion_year,promotion_university,years_post_phd,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona State/associate/CV-2.docx,Natalia Kovrijnykh,2016,Arizona State University,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona State/associate/CV.docx,Wyatt J. Brooks,2020,University of Notre Dame,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Arizona State/associate/CV2023-05.docx,Manjira Datta,2001,Arizona State University,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Arizona State/associate/CV_Ferraro.docx,Domenico Ferraro,2023,Arizona State University,9,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arizona State/associate/cv-3.docx,Alvin D. Murphy,2018,Arizona State University,10,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Arizona State/associate/CV_bishop.docx,Kelly C. Bishop,2013,Arizona State University,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Arizona State/associate/cv_kuminoff.docx,Nicolai V. Kuminoff,2016,Arizona State University,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Arizona State/associate/CV_current.docx,Galina Vereshchagina,2014,Arizona State University,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arizona State/associate/mizzi_acad_cv_2021.docx,Philip J Mizzi,1993,Arizona State University,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/2104res.docx,Alejandro M. Manelli,1997,Arizona State University,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Arizona State/associate/gentry_cv.docx,Matthew L. Gentry,2019,Florida State University,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arizona State/full/CV - Esteban M. Aucejo.docx,Esteban M. Aucejo,2017,Arizona State University,5,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0
Arizona State/full/May 2023.docx,Jeffrey R. Wilson,1991,Arizona State University,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State/full/Ketcham CV April 2024.docx,Jonathan D. Ketcham,2010,Arizona State University,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
Arizona State/full/WMH CV 6-19.docx,W. Michael Hanemann,1984,University of California at Berkeley,6,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,Rajnish Mehra,1985,Columbia University,7,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,0,0,0
Arizona State/full/ahn_vita_2021_02_22.docx,Seung Chan Ahn,1997,Arizona State University,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Arizona State/full/cv2022_.01.docx,Edward E. Schlee,1994,Arizona State University,6,0,2,0,0,0,0,0,1,0,1,0,0,0,1,3,4,0,0,1,0,0,0,0
Arizona State/full/cv-july2025.docx,Gustavo Ventura,2007,University of Iowa,10,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
Arizona State/full/cv.docx,Hector Chade,2003,Arizona State University,6,0,1,2,3,0,0,0,0,0,3,0,0,0,0,1,5,0,0,1,0,0,0,0
Boston College/associate/CV_Edson_Severnini_Sep_2025.docx,Edson R. Severnini,2023,Carnegie Mellon University,10,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1
Boston College/associate/Farrokhi_CV.docx,Farid Farrokhi,2024,Boston College,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Boston College/associate/cv.docx,Robert Ulbricht,2023,Boston College,10,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/associate/MichaelDGrubb_CV.docx,Michael D. Grubb,2016,Boston College,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/associate/cv_nosal2.docx,Jaromir B. Nosal,2023,Boston College,15,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Boston College/associate/rlsweeney_cv.docx,Richard L. Sweeney,2023,Boston College,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boston College/full/Basu_CV.docx,Susanto Basu,1998,University of Michigan,6,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boston College/full/Baum_CV.docx,Christopher F. Baum,1983,Boston College,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1
Boston College/full/Anderson_CV.docx,James E. Anderson,,,,0,7,1,3,1,0,0,0,0,1,0,0,3,2,6,0,0,0,0,14,1,0,2
Boston College/full/CV Murphy January 2024.docx,Robert G. Murphy,1990,Boston College,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boston College/full/CV-Papageorgiou.docx,Theodore Papageorgiou,2022,Boston College,14,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/full/Deb_CV.docx,Rahul Deb,2017,University of Toronto,7,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1
Boston College/full/CV_lewbel.docx,Arthur Lewbel,,,,1,4,7,4,4,0,0,0,0,0,0,2,4,2,4,1,0,0,0,0,2,16,0
Boston College/full/Quinn_CV.docx,Joseph F. Quinn,1980,Boston College,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/full/Xiao_CV.docx,Zhijie Xiao,2002,University of Illinois at Urbana-Champaign,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Boston College/full/Guerron_CV.docx,Pablo A. Guerron,2016,Boston College,10,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,2,0
Boston College/full/Segal_CV.docx,Uzi Segal,1990,University of Toronto,6,0,2,3,0,2,0,0,0,0,2,1,0,0,1,3,10,0,0,0,0,0,0,0
Boston College/full/TayfunSonmez-cv-January2025.docx,Tayfun Sönmez,,,,1,8,6,0,2,0,0,0,0,1,1,0,1,0,1,10,0,0,0,0,1,0,0
Boston College/full/cox.cv.docx,Donald Cox,1987,Boston College,7,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2
Boston College/full/ekmekci-cv-2023-Jan.docx,Mehmet Ekmekci,2013,University of Pittsburgh,7,0,2,2,3,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0
Boston College/full/cvposta.docx,Hideo Konishi,1999,Southern Methodist University,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,2,2,0,0
Boston College/full/ireland.cv.docx,Peter N. Ireland,1998,Boston College,7,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,6,0,0,0,1,0
Boston College/full/uunvercv.docx,M. Utku Ünver,2008,Boston College,8,1,2,2,1,1,0,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,0,0
Boston College/full/schiantarelli_cv__2024_01.docx,Fabio Schiantarelli,1992,Boston College,11,0,2,0,0,0,0,0,3,0,0,0,0,4,3,2,0,0,1,0,0,1,1,2
Boston College/full/vita24public.docx,Shakeeb Khan,2002,University of Rochester,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,14,1
Brandeis/associate/LHuillierCVShort.docx,Jean-Paul L'Huillier,2022,Brandeis University,12,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Brandeis/associate/Sloczynski_CV.docx,Tymon Słoczyński,2025,Brandeis University,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Brandeis/associate/Shiller_CV.docx,Benjamin R. Shiller,2022,Brandeis University,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Brandeis/full/CV_Menon_July2025.docx,Nidhiya Menon,2009,Brandeis University,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brandeis/full/Kathryn_cv.docx,Kathryn Graddy,2007,Brandeis University,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Brandeis/full/RaphaelSchoenle_CV.docx,Raphael S. Schoenle,2017,Brandeis University,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
Brandeis/full/brainerd_cv_oct2023.docx,Elizabeth Brainerd,2002,Williams College,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brandeis/full/gjh_cv_03_2025.docx,George J. Hall,2002,Yale University,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0
CUNY/associate/Arroyo_Abad_CV_2025-01-full.docx,Leticia Arroyo Abad,2016,Middlebury College,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,Seungho Baek,2021,Brooklyn College of the City University of New York,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Bryan-S-Weber-cv.docx,Bryan S. Weber,2023,College of Staten Island - City University of New York,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/CV-Kshankar2023.docx,Kameshwari Shankar,2017,City College of New York,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/KB-CV-2024-07-short.docx,Karna Basu,2009,"Hunter College, City University of New York",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
CUNY/associate/Conning_CV_2021.docx,Jonathan H. Conning,2007,"Hunter College, City University of New York",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
CUNY/associate/Jessica-Van-Parys-CV.docx,Jessica Van Parys,2023,Hunter College,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Lisa-George-CV-Short-2016_2.docx,Lisa M. George,2010,"Hunter College and the Graduate Center, City University of New York",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/McLaughlin-CV-2022-12.docx,Kenneth J. McLaughlin,1995,Hunter College of the City University of New York,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
CUNY/associate/Nixvitae23revised.docx,Joan Nix,1995,Queens College,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Nyman-CV-2017-02.docx,Ingmar Nyman,2008,Hunter College,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CUNY/full/CV timothyjgoodspeed.docx,Timothy J. Goodspeed,1994,Hunter College of the City University of New York,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CUNY/associate/cv2022_pratap.docx,Sangeeta Pratap,2006,"Hunter College and Graduate Center, City University of New York",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CUNY/full/CVZadiaFelicianoJanuary2025.docx,Zadia M. Feliciano,2003,"Queens College, City University of New York",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CUNY/full/CV_DE_2025_Feb_acad.docx,Prabal K. De,2016,City College of New York,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Deborah-Balk-CV-Dec2022.docx,Deborah L. Balk,2010,"Baruch College, City University of New York",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Frank-Heiland-CV.docx,Frank W. Heiland,2012,Baruch College,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Chow_cv.docx,Peter C.Y. Chow,1981,Berry College,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CUNY/full/Devereux_November 2021.docx,John Devereux,1995,University of Miami,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
CUNY/full/JoyceCV_4_17.docx,Theodore Joyce,1990,"Baruch College, City University of New York",5,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CUNY/full/George-Vachadze-CV.docx,George Vachadze,2016,"College of Staten Island, City University of New York",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CUNY/full/Liuren_Wu_CV.docx,Liuren Wu,2003,Baruch College,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
CUNY/full/Rodriguez_Planas_CV_Oct_2025.docx,Núria Rodríguez-Planas,2014,City University of New York,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
CUNY/full/Lilia-Maliar-CV.docx,Lilia Maliar,,,,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
CUNY/full/Roff-CV.docx,Jennifer Louise Roff,2014,"Queens College, City University of New York",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CUNY/full/Matthew-Nagler-CV.docx,M. Nagler,2008,City College of New York,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUNY/full/Sebastiano-Manzan-CV-2023.docx,Sebastiano Manzan,2015,Baruch College,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Schwartz-CV.docx,Robert A Schwartz,1970,New York University,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CUNY/full/YehudaLKlein.docx,Yehuda L. Klein,1994,"Brooklyn College, City University of New York",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUNY/full/cv-Haeringer.docx,Guillaume Haeringer,2009,Universitat Autonoma de Barcelona,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
CUNY/full/belfield-cv.docx,Clive R. Belfield,,"Queens College, City University of New York",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CUNY/full/corak-cv-january-2019.docx,Miles Corak,1999,Statistics Canada,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
CUNY/full/cv-deb.docx,Partha Deb,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/cv_linpeng.docx,Lin Peng,2008,"Baruch College, City University of New York",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/cv_ortega250709.docx,Francesc Ortega,2010,Universitat Pompeu Fabra,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
CUNY/full/cv_penaranda.docx,Francisco Peñaranda,2015,Queens College,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
CUNY/full/white_cv.docx,Mark D. White,2006,College of Staten Island/City University of New York,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/merih-uctum-cv.docx,Merih Uctum,1996,"The Graduate Center and Brooklyn College, City University of New York",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Claremont/associate/Joshua_CV2024-11-11.docx,Joshua Tasoff,2016,Claremont Graduate University,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/associate/DeAngelo_CV.docx,Gregory J. DeAngelo,2018,Claremont Graduate University,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/full/Capra-Shortvita-012024.docx,C. Mónica Capra,2010,Emory University,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/full/Robert-Klitgaard-CV-July-2023.docx,Robert Klitgaard,1977,Harvard University,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado Boulder/associate/CV Yangwei Song.docx,Yangwei Song,2025,University of Colorado Boulder,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Colorado Boulder/associate/CV_2024_July_Nigai.docx,Sergey Nigai,2024,University of Colorado Boulder,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0
Colorado Boulder/associate/CV_Carballo.docx,Jeronimo Carballo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
Colorado Boulder/associate/CV_Peri.docx,Alessandro Peri,2025,University of Colorado Boulder,9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Colorado Boulder/associate/CV_jaworski.docx,Taylor Jaworski,2021,"University of Colorado, Boulder",,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
Colorado Boulder/associate/CV_Barham_2024.docx,Tania Barham,2014,University of Colorado Boulder,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Colorado Boulder/associate/Hughes CV November 2025.docx,Jonathan Edward Hughes,2017,University of Colorado Boulder,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colorado Boulder/associate/McCloskey_CV-6f82972.docx,Adam McCloskey,2023,University of Colorado,12,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
Colorado Boulder/associate/cv_cadena.docx,Brian C. Cadena,2016,University of Colorado Boulder,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Colorado Boulder/associate/east_cv.docx,Chloe N. East,2023,University of Colorado Denver,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Colorado Boulder/full/CV Carol H Shiue long Sept_2025.docx,Carol H. Shiue,2005,University of Colorado,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Colorado Boulder/full/Antman_CV.docx,Francisca M. Antman,2016,University of Colorado Boulder,9,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Colorado Boulder/full/WK CV April 2025.docx,Wolfgang Keller,2003,University of Texas-Austin,8,0,3,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,4,0,1,2
Colorado Boulder/full/Xiaodong_Liu_CV.docx,Xiaodong Liu,2015,University of Colorado Boulder,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0
Colorado Boulder/full/carlos_cv.docx,Carlos Brunet Martins-Filho,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
Colorado Boulder/full/chen_cv_2021_0.docx,Yongmin Chen,2001,University of Colorado Boulder,9,0,0,0,0,0,0,0,1,0,0,2,0,1,3,5,0,0,0,10,2,1,0,1
Colorado Boulder/full/cv_kaffine.docx,Daniel Thomas Kaffine,2013,Colorado School of Mines,6,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colorado Boulder/full/iyiguncv.docx,Murat Iyigun,2005,University of Colorado,10,1,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2
Colorado Boulder/full/cv_savage.docx,Scott J. Savage,2009,"University of Colorado, Boulder",9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Colorado Boulder/full/zax_cv.docx,Jeffrey S. Zax,1989,City University of New York,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0
Colorado Boulder/full/miles kimball CV 2021 03 06.docx,Miles Kimball,1993,University of Michigan,6,1,9,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Emory/associate/CV.docx,Maria Arbatskaya,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Emory/associate/CV Sep 2024.docx,Sue H. Mialon,2015,Emory University,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Emory/associate/CV_Fang.docx,Zheng Fang,2023,Emory University,8,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Emory/associate/CV_Florian_Gunsilius.docx,Florian Gunsilius,2024,Emory University,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Emory/associate/CV_Karbownik_August_2025.docx,Krzysztof Karbownik,2024,Emory University,11,0,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0
Emory/associate/LindCV.docx,Nelson Lind,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emory/associate/MatthewGrennan_CV_Aug 2025.docx,Matthew Grennan,2021,"University of California, Berkeley",11,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Emory/associate/OConnell_CV.docx,Stephen D. O'Connell,2022,Emory University,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Emory/associate/cv-2.docx,Pedro H. C. Sant'Anna,2023,Emory University,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Emory/associate/mccarthy_cv.docx,Ian McCarthy,2020,Emory University,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Emory/full/CV_KaijiChen.docx,Kaiji Chen,2016,Emory University,11,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Emory/full/CV_Maasoumi August 2024.docx,Esfandiar Maasoumi,1982,Indiana University,5,0,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0
Emory/full/CV_Sep2024.docx,Kyungmin Kim,2016,University of Iowa,7,0,0,2,1,1,0,0,0,0,1,1,0,0,0,2,1,0,0,2,0,0,0,0
