file,name,promotion_year,promotion_university,years_post_phd,QUARTERLY JOURNAL OF ECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,REVIEW OF ECONOMIC STUDIES,JOURNAL OF POLITICAL ECONOMY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,THEORETICAL ECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,QUANTITATIVE ECONOMICS,REVIEW OF ECONOMICS AND STATISTICS,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF ECONOMIC THEORY,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,RAND JOURNAL OF ECONOMICS,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF DEVELOPMENT ECONOMICS
Arizona State/full/cv2022_.01.docx,Edward E. Schlee,1994.0,Arizona State University,6.0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,4,4,0,0,1,0,0,0,0
Boston College/associate/CV_Edson_Severnini_Sep_2025.docx,Edson R. Severnini,2023.0,Carnegie Mellon University,10.0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1
Boston College/associate/Farrokhi_CV.docx,Farid Farrokhi,2024.0,Boston College,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/associate/MichaelDGrubb_CV.docx,Michael D. Grubb,2016.0,Boston College,9.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/associate/cv.docx,Robert Ulbricht,2023.0,Boston College,10.0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/associate/rlsweeney_cv.docx,Richard L. Sweeney,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boston College/associate/cv_nosal2.docx,Jaromir B. Nosal,2023.0,Boston College,15.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Boston College/full/Anderson_CV.docx,James E. Anderson,1972.0,Boston College,3.0,0,4,1,1,1,0,0,0,0,0,0,0,3,1,6,1,0,0,0,11,2,0,1
Boston College/full/Basu_CV.docx,Susanto Basu,1998.0,University of Michigan,6.0,2,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boston College/full/Baum_CV.docx,Christopher F. Baum,1983.0,Boston College,6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Boston College/full/CV Murphy January 2024.docx,Robert G. Murphy,1990.0,Boston College,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/full/CV_lewbel.docx,Arthur Lewbel,,,,2,3,7,1,3,0,0,0,0,0,0,2,5,2,3,1,0,0,0,0,1,15,0
Boston College/full/CV-Papageorgiou.docx,Theodore Papageorgiou,2014.0,McGill University,6.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Boston College/full/Deb_CV.docx,Rahul Deb,2017.0,University of Toronto,7.0,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1
Boston College/full/Guerron_CV.docx,Pablo A. Guerron,2016.0,Boston College,10.0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,2,0
Boston College/full/Quinn_CV.docx,Joseph F. Quinn,1980.0,Boston College,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College/full/Segal_CV.docx,Uzi Segal,1990.0,University of Toronto,6.0,0,1,4,0,1,0,0,0,0,2,1,0,0,1,3,8,0,0,0,0,0,0,0
Boston College/full/TayfunSonmez-cv-January2025.docx,Tayfun Sönmez,2000.0,Koç University,5.0,1,4,3,0,2,0,0,0,0,1,1,0,2,0,1,7,0,0,0,0,1,0,0
Boston College/full/Xiao_CV.docx,Zhijie Xiao,2002.0,University of Illinois at Urbana-Champaign,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Boston College/full/cvposta.docx,Hideo Konishi,1999.0,Southern Methodist University,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0
Boston College/full/cox.cv.docx,Donald Cox,1987.0,Boston College,7.0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
Boston College/full/ekmekci-cv-2023-Jan.docx,Mehmet Ekmekci,2013.0,University of Pittsburgh,7.0,0,2,2,2,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0
Boston College/full/ireland.cv.docx,Peter N. Ireland,1998.0,Boston College,7.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,4,0,0,0,1,0
Boston College/full/schiantarelli_cv__2024_01.docx,Fabio Schiantarelli,1998.0,Boston College,17.0,0,2,0,0,0,0,0,2,0,0,0,0,4,2,2,0,0,2,0,0,1,1,2
Boston College/full/uunvercv.docx,M. Utku Ünver,2008.0,Boston College,8.0,1,2,2,1,1,0,0,0,0,3,0,0,0,1,2,5,0,0,1,0,0,0,0
Boston College/full/vita24public.docx,Shakeeb Khan,2002.0,University of Rochester,5.0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,13,1
Brandeis/associate/LHuillierCVShort.docx,Jean-Paul L’Huillier,2022.0,Brandeis University,12.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Brandeis/associate/Sloczynski_CV.docx,Tymon Słoczyński,2025.0,Brandeis University,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Brandeis/associate/Shiller_CV.docx,Benjamin R. Shiller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Brandeis/full/CV_Menon_July2025.docx,Nidhi Menon,2009.0,Brandeis University,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandeis/full/Kathryn_cv.docx,Kathryn Graddy,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Brandeis/full/brainerd_cv_oct2023.docx,Elizabeth Brainerd,2002.0,Williams College,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brandeis/full/gjh_cv_03_2025.docx,George J. Hall,2002.0,Yale University,6.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0
CUNY/associate/Arroyo_Abad_CV_2025-01-full.docx,Leticia Arroyo Abad,2016.0,Middlebury College,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,SeungHo Baek,2021.0,Brooklyn College of the CUNY,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandeis/full/RaphaelSchoenle_CV.docx,Raphael S. Schoenle,2017.0,Brandeis University,7.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
CUNY/associate/Bryan-S-Weber-cv.docx,Bryan S. Weber,2023.0,College of Staten Island - City University of New York,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/CV-Kshankar2023.docx,Kameshwari Shankar,2017.0,City College of New York,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Conning_CV_2021.docx,Jonathan H. Conning,2007.0,"Hunter College, City University of New York",11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CUNY/associate/Izhakian_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Jessica-Van-Parys-CV.docx,Jessica Van Parys,2023.0,Hunter College,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/KB-CV-2024-07-short.docx,Karna Basu,2017.0,"Hunter College, CUNY",11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
CUNY/associate/McLaughlin-CV-2022-12.docx,Kenneth J. McLaughlin,2000.0,Hunter College and the Graduate Center of the City University of New York,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
CUNY/associate/Lisa-George-CV-Short-2016_2.docx,Lisa M. George,2010.0,"Hunter College and the Graduate Center, City University of New York",9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Nixvitae23revised.docx,Joan Nix,1995.0,Queens College (CUNY),6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/associate/Nyman-CV-2017-02.docx,Ingmar Nyman,2008.0,"Hunter College, CUNY",12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CUNY/associate/cv2022_pratap.docx,Sangeeta Pratap,2006.0,"Hunter College and Graduate Center, City University of New York",8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CUNY/associate/kleinberg_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/CV timothyjgoodspeed.docx,Timothy J. Goodspeed,1994.0,Hunter College and The Graduate School of The City University of New York,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CUNY/full/CVZadiaFelicianoJanuary2025.docx,Zadia M. Feliciano,2003.0,"Queens College, City University of New York",8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/CV_DE_2025_Feb_acad.docx,Prabal K. De,2016.0,"City College of New York, CUNY",8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Chow_cv.docx,Peter C.Y. Chow,1986.0,Southeastern Louisiana University,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CUNY/full/Deborah-Balk-CV-Dec2022.docx,Deborah L. Balk,2006.0,"Baruch College, City University of New York",15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Devereux_November 2021.docx,John Devereux,1995.0,University of Miami,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CUNY/full/Frank-Heiland-CV.docx,Frank W. Heiland,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/George-Vachadze-CV.docx,George Vachadze,2016.0,"College of Staten Island, City University of New York",13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CUNY/full/JoyceCV_4_17.docx,Theodore Joyce,1990.0,"Baruch College, City University of New York",5.0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CUNY/full/Lilia-Maliar-CV.docx,Lilia Maliar,2007.0,University of Alicante,8.0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
CUNY/full/Linda_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/Liuren_Wu_CV.docx,Liuren Wu,2003.0,Baruch College,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
CUNY/full/Matthew-Nagler-CV.docx,Marcus Nagler,2008.0,Lehman College/CUNY,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUNY/full/Rodriguez_Planas_CV_Oct_2025.docx,Núria Rodríguez-Planas,2014.0,"City University of New York (CUNY), Queens College",15.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
CUNY/full/Schwartz-CV.docx,Robert A. Schwartz,1970.0,New York University,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CUNY/full/Roff-CV.docx,Elizabeth O. Ananat,2014.0,"Queens College, City University of New York",10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CUNY/full/Sebastiano-Manzan-CV-2023.docx,Sebastiano Manzan,2015.0,Baruch College,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/YehudaLKlein.docx,YEHUDA L. KLEIN,1994.0,"Brooklyn College, CUNY",9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUNY/full/belfield-cv.docx,Clive R. Belfield,2008.0,"Queens College, City University of New York",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/christos_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/corak-cv-january-2019.docx,Miles Corak,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
CUNY/full/cv-Haeringer.docx,Guillaume Haeringer,2009.0,Universitat Autònoma de Barcelona,9.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
CUNY/full/cv-deb.docx,Partha Deb,1998.0,Indiana University-Purdue University Indianapolis (IUPUI),7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
CUNY/full/cv_linpeng.docx,Lin Peng,2008.0,"Baruch College, City University of New York",6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/cv_penaranda.docx,Francisco Peñaranda,2015.0,"Queens College, City University of New York (CUNY)",12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
CUNY/full/hovakimian.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/kai-fai-ma_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/cv_ortega250709.docx,Francesc Ortega,2010.0,University Pompeu Fabra and Barcelona School of Economics,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
CUNY/full/merih-uctum-cv.docx,Merih Uctum,1996.0,"The Graduate Center and Brooklyn College, CUNY",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/remler_cv.docx,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNY/full/white_cv.docx,Mark D. White,2003.0,College of Staten Island/CUNY,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/associate/DeAngelo_CV.docx,Gregory J. DeAngelo,2018.0,Claremont Graduate University,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/associate/Joshua_CV2024-11-11.docx,Joshua Tasoff,2016.0,Claremont Graduate University,6.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Claremont/full/Capra-Shortvita-012024.docx,C. Mónica Capra,2010.0,Emory University,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emory/associate/CV Sep 2024.docx,Sue H. Mialon,2015.0,Emory University,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Emory/associate/CV.docx,Maria Arbatskaya,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Emory/associate/CV_Fang.docx,Zheng Fang,2023.0,Emory University,8.0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Emory/associate/CV_Florian_Gunsilius.docx,Florian Gunsilius,2024.0,Emory University,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Emory/associate/LindCV.docx,Nelson Lind,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emory/associate/MatthewGrennan_CV_Aug 2025.docx,Matthew Grennan,2021.0,"University of California, Berkeley, Haas School",11.0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Emory/associate/OConnell_CV.docx,Stephen D. O’Connell,2022.0,Emory University,6.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Emory/associate/CV_Karbownik_August_2025.docx,Krzysztof Karbownik,2024.0,Emory University,,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Emory/associate/cv-2.docx,Pedro H. C. Sant'Anna,2023.0,Emory University,8.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
Emory/associate/mccarthy_cv.docx,Ian McCarthy,2020.0,Emory University,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emory/full/CV_KaijiChen.docx,Kaiji Chen,2016.0,Emory University,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Emory/full/CV_Maasoumi August 2024.docx,Esfandiar (Essie) Maasoumi,1982.0,Indiana University,5.0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0
Emory/full/CV_Sep2024.docx,Kyungmin (Teddy) Kim,2016.0,University of Miami,7.0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,2,2,0,0,2,0,0,0,0
Emory/full/CV_YUE2024.docx,Vivian Zhanwei Yue,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
Emory/full/ResumeSept23.docx,Stefan Hoderlein,2008.0,Brown University,6.0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0
Emory/full/Rubio-Ramirez-CV.docx,Juan F. Rubio-Ramírez,2006.0,Duke University,5.0,0,2,3,5,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,4,0
Emory/full/alexisakira_toda_CV.docx,Alexis Akira Toda,2019.0,University of California San Diego,6.0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,1,0
Emory/full/cv.docx,Elena Pesavento,2007.0,Emory University,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Emory/full/engCV2.docx,David T. Jacho-Chavez,2013.0,Emory University,7.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
Emory/full/google_vitae.docx,In-Koo Cho,1992.0,University of Chicago,6.0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0
Emory/full/vita.docx,Hugo M. Mialon,2010.0,Emory University,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0
Emory/full/vitae_zha.docx,Tao Zha,1992.0,University of Saskatchewan,0.0,0,3,2,1,1,0,0,0,0,0,0,3,1,1,4,2,0,4,0,0,0,6,0
Emory/full/web_cv_markowitz_7_25.docx,Sara J. Markowitz,2005.0,Rutgers University,7.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWU/associate/bdwilliams_cv_112224.docx,Benjamin D. Williams,2020.0,George Washington University,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GWU/associate/gwuresume_ChaoWei_Apr2024.docx,Chao Wei,2010.0,George Washington University,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GWU/full/Academic CV - Vonortas.docx,Nicholas S. Vonortas,1996.0,George Washington University,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWU/associate/kukacv.docx,Elira Kuka,2023.0,George Washington University,8.0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0
GWU/full/Academic_CV_ Pelzman_September _2019 - Joseph Pelzman.docx,Joseph Pelzman,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWU/full/CV Remi Jedwab 11132025 web.docx,Remi C. Jedwab,2016.0,George Washington University,4.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
GWU/full/JayShambaughCV-2-22.docx,Jay C. Shambaugh,2008.0,Dartmouth College,6.0,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0
GWU/full/CarrilloCurrentCV.docx,Paul E. Carrillo,2013.0,George Washington University,7.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1
GWU/full/Kaminsky-CV.docx,Graciela Laura Kaminsky,1992.0,"University of California, San Diego",7.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4
GWU/full/Stephen Smith CV.docx,Stephen C. Smith,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GWU/full/Robert F. Phillips, GWU.docx",Robert F. Phillips,1991.0,George Washington University,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
GWU/full/chris_sleet_cv.docx,Christopher Sleet,2006.0,University of Iowa,8.0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
GWU/full/cv_chen.docx,Maggie Xiaoyang Chen,2011.0,George Washington University,6.0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,2
GWU/full/sinclair_cv.docx,Tara M. Sinclair,2011.0,The George Washington University,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWU/full/samaniegocv.docx,Roberto Samaniego,2007.0,George Washington University,6.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Georgetown/associate/Alexpoirier_CV 2.docx,Alexandre Poirier,2022.0,Georgetown University,9.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
