file,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF DEVELOPMENT ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF ECONOMIC THEORY,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,JOURNAL OF POLITICAL ECONOMY,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,QUANTITATIVE ECONOMICS,QUARTERLY JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,REVIEW OF ECONOMIC STUDIES,REVIEW OF ECONOMICS AND STATISTICS,THEORETICAL ECONOMICS,name,promotion_university,promotion_year,years_post_phd,unresolved_count,unresolved_fields,unresolved_details,needs_review
Arizona State/full/cv-july2025.docx,0,0,0,0,1,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,Gustavo Ventura,University of Iowa,2007,10,0,,{},0
Arizona State/full/cv.docx,0,0,0,0,1,2,0,1,0,0,,0,0,0,0,0,0,0,0,1,3,0,3,HECTOR CHADE,Arizona State University,2003,6,1,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""insufficient_support""}",1
Arizona State/full/cv2022_.01.docx,0,0,0,0,2,0,1,3,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,Edward E. Schlee,Arizona State University,1994,6,0,,{},0
Arizona/associate/Deimen_CV_Nov2025.docx,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Inga Deimen,University of Arizona,2025,9,0,,{},0
Arizona/associate/Mathevet_cv.docx,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,Laurent Mathevet,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""tie"", ""promotion_year"": ""tie"", ""years_post_phd"": ""tie""}",1
Arizona/associate/Stegeman_CV_2022.docx,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Mark Stegeman,Virginia Polytechnic Institute and State University,2000,13,0,,{},0
Arizona/associate/Taylor_CV_Sep25.docx,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Evan James Taylor,University of Arizona,2023,6,0,,{},0
Arizona/full/20220817_cv_wildenbeest.docx,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,MATTHIJS R WILDENBEEST,Indiana University,2013,6,0,,{},0
Arizona/full/Blume.docx,0,0,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,Andreas Blume,University of Iowa,1995,6,0,,{},0
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,Hidehiko Ichimura,University of Pittsburgh,1998,10,0,,{},0
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,0,0,0,0,5,1,2,2,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,Charles N. Noussair,Purdue University,1998,5,0,,{},0
"Arizona/full/Mo, Xiao_CV.docx",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Mo Xiao,The University of Arizona,2012,9,0,,{},0
Arizona/full/Powell CV June 2022_0.docx,0,0,0,0,0,7,0,1,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,James L. Powell,University of Wisconsin-Madison,1987,5,0,,{},0
Arizona/full/Price V. Fishback CV.docx,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,Price Vanmeter Fishback,University of Georgia,,4,1,promotion_year,"{""promotion_year"": ""tie""}",1
Arizona/full/Woutersen CV 2024 3.docx,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,Tiemen Woutersen,University of Arizona,2013,13,0,,{},0
Arizona/full/alangerCV_20251211.docx,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Ashley Langer,University of Arizona,2021,11,0,,{},0
Arizona/full/lemoine_cv.docx,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Derek Lemoine,University of Arizona,2017,6,0,,{},0
Boston College/associate/CV_Edson_Severnini_Sep_2025.docx,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,Edson R. Severnini,Carnegie Mellon University,2023,10,0,,{},0
Boston College/associate/Farrokhi_CV.docx,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,Farid Farrokhi,Boston College,2024,8,0,,{},0
Boston College/associate/MichaelDGrubb_CV.docx,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Michael D. Grubb,Boston College,2016,9,0,,{},0
Boston College/associate/cv.docx,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Robert Ulbricht,Boston College,2023,10,0,,{},0
Boston College/associate/cv_nosal2.docx,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,Jaromir B. Nosal,Boston College,2023,15,0,,{},0
Boston College/associate/rlsweeney_cv.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Richard L. Sweeney,Boston College,2023,8,0,,{},0
Boston College/full/Anderson_CV.docx,0,0,0,0,,1,2,,2,0,0,13,0,0,1,1,0,0,0,0,3,3,0,James E. Anderson,,,,5,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""tie"", ""INTERNATIONAL ECONOMIC REVIEW"": ""tie"", ""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Boston College/full/Basu_CV.docx,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,Susanto Basu,University of Michigan,1998,6,0,,{},0
Boston College/full/Baum_CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Christopher F. Baum,Boston College,1983,6,0,,{},0
Boston College/full/CV Murphy January 2024.docx,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Robert G. Murphy,Boston College,1990,6,0,,{},0
Boston College/full/CV-Papageorgiou.docx,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Theodore Papageorgiou,Boston College,2022,14,0,,{},0
Boston College/full/CV_lewbel.docx,0,0,0,0,5,,3,4,0,21,1,0,0,0,4,2,0,2,1,0,4,5,0,Arthur Lewbel,,,,4,ECONOMETRICA; promotion_university; promotion_year; years_post_phd,"{""ECONOMETRICA"": ""tie"", ""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Boston College/full/Deb_CV.docx,0,0,0,1,1,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,2,Rahul Deb,University of Toronto,2017,7,0,,{},0
Boston College/full/Guerron_CV.docx,0,0,1,0,2,0,0,0,0,2,0,1,0,3,0,0,0,2,0,0,0,0,0,Pablo A. Guerron,Boston College,2016,10,0,,{},0
Boston College/full/Quinn_CV.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joseph F. Quinn,Boston College,1980,5,0,,{},0
Boston College/full/Segal_CV.docx,0,0,0,1,2,4,1,3,0,0,,0,0,0,2,0,0,0,0,0,0,0,2,Uzi Segal,University of Toronto,1990,6,1,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""insufficient_support""}",1
Boston College/full/TayfunSonmez-cv-January2025.docx,0,0,0,1,8,6,0,1,0,0,,0,0,0,2,1,0,0,1,0,0,1,1,Tayfun Sönmez,,,,4,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""insufficient_support"", ""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Boston College/full/Xiao_CV.docx,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Zhijie Xiao,University of Illinois at Urbana-Champaign,2002,5,0,,{},0
Boston College/full/cox.cv.docx,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,4,0,Donald Cox,Boston College,1987,7,0,,{},0
Boston College/full/cvposta.docx,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,0,0,0,0,0,0,1,Hideo Konishi,Southern Methodist University,1998,4,1,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""tie""}",1
Boston College/full/ekmekci-cv-2023-Jan.docx,0,0,0,1,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,2,Mehmet Ekmekci,University of Pittsburgh,2013,7,0,,{},0
Boston College/full/ireland.cv.docx,0,0,0,0,2,0,0,2,0,1,0,0,0,6,1,0,1,0,0,0,0,1,0,Peter N. Ireland,Boston College,1998,7,0,,{},0
Boston College/full/schiantarelli_cv__2024_01.docx,0,0,0,0,2,0,3,2,2,1,0,0,0,1,0,1,3,0,0,0,0,6,0,Fabio Schiantarelli,Boston University,1988,7,0,,{},0
Boston College/full/uunvercv.docx,0,0,0,0,2,2,0,1,0,0,4,0,0,0,1,0,0,0,1,1,1,0,3,M. Utku Ünver,Boston College,2008,8,0,,{},0
Boston College/full/vita24public.docx,0,0,0,0,0,3,0,1,1,14,0,0,0,0,0,1,0,2,0,0,0,0,0,Shakeeb Khan,University of Rochester,2002,5,0,,{},0
Brandeis/associate/LHuillierCVShort.docx,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Jean-Paul L’Huillier,Brandeis University,2022,12,0,,{},0
Brandeis/associate/Shiller_CV.docx,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Benjamin R. Shiller,Brandeis University,2022,11,0,,{},0
Brandeis/associate/Sloczynski_CV.docx,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tymon Słoczyński,Brandeis University,2025,11,0,,{},0
Brandeis/full/CV_Menon_July2025.docx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NIDHIYA MENON,Brandeis University,2009,8,0,,{},0
Brandeis/full/Kathryn_cv.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,Kathryn Graddy,Brandeis University,2007,14,0,,{},0
Brandeis/full/RaphaelSchoenle_CV.docx,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,Raphael S. Schoenle,Brandeis University,2017,7,0,,{},0
Brandeis/full/brainerd_cv_oct2023.docx,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Elizabeth Brainerd,Williams College,2002,6,0,,{},0
Brandeis/full/gjh_cv_03_2025.docx,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,1,0,0,0,George J. Hall,Yale University,2002,6,0,,{},0
CUNY/associate/Arroyo_Abad_CV_2025-01-full.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leticia Arroyo Abad,Middlebury College,2016,7,0,,{},0
CUNY/associate/Baek_CV_and_Cover_Letter_06022025.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seungho Baek,Brooklyn College of the City University of New York,2021,8,0,,{},0
CUNY/associate/Bryan-S-Weber-cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bryan S. Weber,College of Staten Island - City University of New York,2023,8,0,,{},0
CUNY/associate/CV-Kshankar2023.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kameshwari Shankar,City College of New York,2017,11,0,,{},0
CUNY/associate/Conning_CV_2021.docx,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonathan H. Conning,"Hunter College, City University of New York",2007,11,0,,{},0
CUNY/associate/Jessica-Van-Parys-CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jessica Van Parys,Hunter College,2023,8,0,,{},0
CUNY/associate/KB-CV-2024-07-short.docx,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karna Basu,,2017,11,1,promotion_university,"{""promotion_university"": ""tie""}",1
CUNY/associate/Lisa-George-CV-Short-2016_2.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lisa M. George,"Hunter College and the Graduate Center, City University of New York",2010,9,0,,{},0
CUNY/associate/McLaughlin-CV-2022-12.docx,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,Kenneth J. McLaughlin,Hunter College and the Graduate Center of the City University of New York,1995,8,0,,{},0
CUNY/associate/Nixvitae23revised.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joan Nix,"Queens College, City University of New York",1995,6,0,,{},0
CUNY/associate/Nyman-CV-2017-02.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ingmar Nyman,"Hunter College, City University of New York",2008,12,0,,{},0
CUNY/associate/cv2022_pratap.docx,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sangeeta Pratap,City University of New York,2006,8,0,,{},0
CUNY/full/CV timothyjgoodspeed.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Timothy J. Goodspeed,Hunter College and The Graduate School of The City University of New York,1994,8,0,,{},0
CUNY/full/CVZadiaFelicianoJanuary2025.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadia M. Feliciano,"Queens College, City University of New York",2003,8,0,,{},0
CUNY/full/CV_DE_2025_Feb_acad.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prabal K. De,,2016,8,1,promotion_university,"{""promotion_university"": ""tie""}",1
CUNY/full/Chow_cv.docx,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Peter C.Y. Chow,Berry College,1981,,1,years_post_phd,"{""years_post_phd"": ""all_missing""}",1
CUNY/full/Deborah-Balk-CV-Dec2022.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deborah L. Balk,"Baruch College, City University of New York",2006,15,0,,{},0
CUNY/full/Devereux_November 2021.docx,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,John Devereux,University of Miami,1995,6,0,,{},0
CUNY/full/Frank-Heiland-CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank W. Heiland,Florida State University,2009,7,0,,{},0
CUNY/full/George-Vachadze-CV.docx,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,George Vachadze,"College of Staten Island, City University of New York",2016,17,0,,{},0
CUNY/full/JoyceCV_4_17.docx,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,Theodore Joyce,"Baruch College, City University of New York",1990,5,0,,{},0
CUNY/full/Lilia-Maliar-CV.docx,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,Lilia Maliar,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
CUNY/full/Liuren_Wu_CV.docx,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Liuren Wu,Baruch College,2003,9,0,,{},0
CUNY/full/Matthew-Nagler-CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,City College of New York,2008,15,1,name,"{""name"": ""insufficient_support""}",1
CUNY/full/Rodriguez_Planas_CV_Oct_2025.docx,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,Núria Rodríguez-Planas,"City University of New York, Queens College",2014,15,0,,{},0
CUNY/full/Roff-CV.docx,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jennifer Louise Roff,"Queens College, City University of New York",2014,10,0,,{},0
CUNY/full/Schwartz-CV.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Robert A Schwartz,New York University,1970,4,0,,{},0
CUNY/full/Sebastiano-Manzan-CV-2023.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sebastiano Manzan,Baruch College,2015,12,0,,{},0
CUNY/full/YehudaLKlein.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,YEHUDA L. KLEIN,"Brooklyn College, City University of New York",1994,9,0,,{},0
CUNY/full/belfield-cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clive R. Belfield,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
CUNY/full/corak-cv-january-2019.docx,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,Miles Corak,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
CUNY/full/cv-Haeringer.docx,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Guillaume Haeringer,Universitat Autònoma de Barcelona,2009,9,0,,{},0
CUNY/full/cv-deb.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partha Deb,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
CUNY/full/cv_linpeng.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lin Peng,,2008,6,1,promotion_university,"{""promotion_university"": ""tie""}",1
CUNY/full/cv_ortega250709.docx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Francesc Ortega,,2012,8,1,promotion_university,"{""promotion_university"": ""tie""}",1
CUNY/full/cv_penaranda.docx,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Francisco Peñaranda,"Queens College, City University of New York",2015,12,0,,{},0
CUNY/full/merih-uctum-cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Merih Uctum,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""all_missing""}",1
CUNY/full/white_cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARK D. WHITE,College of Staten Island/City University of New York,2006,9,0,,{},0
Claremont/associate/DeAngelo_CV.docx,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gregory J. DeAngelo,Claremont Graduate University,2018,,1,years_post_phd,"{""years_post_phd"": ""all_missing""}",1
Claremont/associate/Joshua_CV2024-11-11.docx,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joshua Tasoff,Claremont Graduate University,2016,6,0,,{},0
Claremont/full/Capra-Shortvita-012024.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C. Mónica Capra,Emory University,2010,11,0,,{},0
Claremont/full/Robert-Klitgaard-CV-July-2023.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Klitgaard,Harvard University,1977,,1,years_post_phd,"{""years_post_phd"": ""all_missing""}",1
Colorado Boulder/associate/CV Yangwei Song.docx,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Yangwei Song,University of Colorado Boulder,2025,8,0,,{},0
Colorado Boulder/associate/CV_2024_July_Nigai.docx,0,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Sergey Nigai,University of Colorado Boulder,2024,12,0,,{},0
Colorado Boulder/associate/CV_Barham_2024.docx,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tania Barham,University of Colorado Boulder,2014,9,0,,{},0
Colorado Boulder/associate/CV_Carballo.docx,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Jeronimo Carballo,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Colorado Boulder/associate/CV_Peri.docx,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Alessandro Peri,University of Colorado Boulder,2025,9,0,,{},0
Colorado Boulder/associate/CV_jaworski.docx,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Taylor Jaworski,"University of Colorado, Boulder",2021,7,0,,{},0
Colorado Boulder/associate/Hughes CV November 2025.docx,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jonathan Edward Hughes,University of Colorado Boulder,2017,8,0,,{},0
Colorado Boulder/associate/McCloskey_CV-6f82972.docx,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,Adam McCloskey,University of Colorado,2023,12,0,,{},0
Colorado Boulder/associate/cv_cadena.docx,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Brian C. Cadena,University of Colorado Boulder,2016,8,0,,{},0
Colorado Boulder/associate/east_cv.docx,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,Chloe N. East,University of Colorado Denver,2023,7,0,,{},0
