file,diff_fields,deepseek_values,kimi_values,poe_values
Arizona State/full/May 2023.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Jeffrey R. Wilson"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1991"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Jeffrey R. Wilson"", ""promotion_university"": ""Arizona State University"", ""promotion_year"": ""1991"", ""years_post_phd"": ""7""}"
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""3"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Rajnish Mehra"", ""promotion_university"": ""University of California, Santa Barbara"", ""promotion_year"": ""1985"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""3"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Rajnish Mehra"", ""promotion_university"": ""University of California, Santa Barbara"", ""promotion_year"": ""1985"", ""years_post_phd"": ""7""}"
Arizona State/full/WMH CV 6-19.docx,AMERICAN ECONOMIC REVIEW; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Arizona State/full/ahn_vita_2021_02_22.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""5""}"
Arizona State/full/cv-july2025.docx,JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}"
Arizona State/full/cv.docx,JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES; THEORETICAL ECONOMICS,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""THEORETICAL ECONOMICS"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""THEORETICAL ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""THEORETICAL ECONOMICS"": ""3""}"
Arizona State/full/cv2022_.01.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""4""}"
Arizona/associate/Mathevet_cv.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""University of Arizona"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}","{""promotion_university"": ""University of Arizona"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}","{""promotion_university"": ""European University Institute"", ""promotion_year"": ""2021"", ""years_post_phd"": ""13""}"
Arizona/associate/Taylor_CV_Sep25.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""JOURNAL OF LABOR ECONOMICS"": ""1""}"
Arizona/full/20220817_cv_wildenbeest.docx,name; promotion_university,"{""name"": """", ""promotion_university"": ""Indiana University""}","{""name"": ""Matthijs R. Wildenbeest"", ""promotion_university"": ""Indiana University""}","{""name"": """", ""promotion_university"": ""Indiana University, Kelley School of Business""}"
Arizona/full/Blume.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; THEORETICAL ECONOMICS; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""THEORETICAL ECONOMICS"": ""3"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""8"", ""THEORETICAL ECONOMICS"": ""1"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""12"", ""THEORETICAL ECONOMICS"": ""2"", ""years_post_phd"": """"}"
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMETRICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""name"": ""Hidehiko Ichimura"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1998"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""name"": """", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1998"", ""years_post_phd"": ""10""}"
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2002"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""promotion_university"": ""Purdue University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Purdue University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""5""}"
Arizona/full/Powell CV June 2022_0.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""18""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""10""}"
Arizona/full/Price V. Fishback CV.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1990"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}"
Arizona/full/Woutersen CV 2024 3.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""3""}"
Arizona/full/alangerCV_20251211.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Arizona/full/lemoine_cv.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Boston College/associate/cv_nosal2.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}"
Boston College/full/Anderson_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""9"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Boston College/full/Basu_CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""2""}"
Boston College/full/Baum_CV.docx,JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Boston College/full/CV Murphy January 2024.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}"
