file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Arizona State/full/RAJNISH-MEHRA-Vita-Aug-2025.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Columbia University""}","{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""Columbia University""}","{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""University of California, Santa Barbara""}"
Arizona State/full/WMH CV 6-19.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Arizona State/full/ahn_vita_2021_02_22.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""6""}"
Arizona State/full/cv-july2025.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}"
Arizona State/full/cv.docx,JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""7"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
Arizona State/full/cv2022_.01.docx,INTERNATIONAL ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3""}"
Arizona/associate/Mathevet_cv.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""New York University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Arizona"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}","{""promotion_university"": ""European University Institute"", ""promotion_year"": ""2021"", ""years_post_phd"": ""13""}","{""promotion_university"": ""University of Arizona"", ""promotion_year"": ""2024"", ""years_post_phd"": ""16""}","{""promotion_university"": ""European University Institute"", ""promotion_year"": ""2021"", ""years_post_phd"": ""13""}"
Arizona/full/20220817_cv_wildenbeest.docx,name; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Matthijs R Wildenbeest"", ""promotion_university"": ""Indiana University""}","{""name"": ""MATTHIJS R WILDENBEEST"", ""promotion_university"": ""Indiana University, Kelley School of Business""}","{""name"": ""Matthijs R. Wildenbeest"", ""promotion_university"": ""Indiana University""}","{""name"": ""MATTHIJS R WILDENBEEST"", ""promotion_university"": ""Indiana University Bloomington, Kelley School of Business""}","{""name"": ""Matthijs R Wildenbeest"", ""promotion_university"": ""Indiana University""}"
Arizona/full/Blume.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""14""}","{""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""JOURNAL OF ECONOMIC THEORY"": ""14""}"
Arizona/full/CVJan2025_Hidehiko Ichimura.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1998"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1998"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Pittsburgh"", ""promotion_year"": ""1998"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University College London"", ""promotion_year"": ""1999"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University College London"", ""promotion_year"": ""1999"", ""years_post_phd"": ""11""}"
Arizona/full/Charles-Noussair-Vitae-June-2025.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
"Arizona/full/Mo, Xiao_CV.docx",QUANTITATIVE ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""QUANTITATIVE ECONOMICS"": ""0"", ""promotion_university"": ""University of Arizona""}","{""QUANTITATIVE ECONOMICS"": ""0"", ""promotion_university"": ""the University of Arizona""}","{""QUANTITATIVE ECONOMICS"": ""0"", ""promotion_university"": ""The University of Arizona""}","{""QUANTITATIVE ECONOMICS"": ""1"", ""promotion_university"": ""The University of Arizona""}","{""QUANTITATIVE ECONOMICS"": ""0"", ""promotion_university"": ""the University of Arizona""}"
Arizona/full/Powell CV June 2022_0.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""7"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""7"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""7"", ""JOURNAL OF ECONOMETRICS"": ""17""}","{""ECONOMETRICA"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""11""}"
Arizona/full/Price V. Fishback CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; JOURNAL OF POLITICAL ECONOMY; QUARTERLY JOURNAL OF ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1990"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1887"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1990"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Georgia"", ""promotion_year"": ""1987"", ""years_post_phd"": ""4""}"
Boston College/associate/Farrokhi_CV.docx,ECONOMETRICA,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""0""}","{""ECONOMETRICA"": ""1""}","{""ECONOMETRICA"": ""0""}"
Boston College/full/Anderson_CV.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""7"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""14"", ""THEORETICAL ECONOMICS"": ""1"", ""name"": ""James E. Anderson"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""10"", ""INTERNATIONAL ECONOMIC REVIEW"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""10"", ""INTERNATIONAL ECONOMIC REVIEW"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""James E. Anderson"", ""promotion_university"": ""Boston College"", ""promotion_year"": ""1972"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""James E. Anderson"", ""promotion_university"": ""The University of Iowa"", ""promotion_year"": ""1972"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""James E. Anderson"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Boston College/full/Basu_CV.docx,JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Boston College/full/Baum_CV.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8"", ""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0""}"
Boston College/full/CV-Papageorgiou.docx,INTERNATIONAL ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}"
Boston College/full/CV_lewbel.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""7"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""16"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""11"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""21"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""11"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""21"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMETRICA"": ""10"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""21"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""10"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""26"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}"
Boston College/full/Guerron_CV.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; INTERNATIONAL ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}"
Boston College/full/Segal_CV.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""10""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""15""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""15""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""11""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""16""}"
Boston College/full/TayfunSonmez-cv-January2025.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""8"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""JOURNAL OF ECONOMIC THEORY"": ""11"", ""name"": ""TAYFUN SO\u00a8 NMEZ"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""JOURNAL OF ECONOMIC THEORY"": ""12"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": ""Ko\u00e7 University"", ""promotion_year"": ""2000"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF ECONOMIC THEORY"": ""9"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": ""Istanbul Technical University"", ""promotion_year"": ""2000"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""name"": ""Tayfun S\u00f6nmez"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
